n	Session	accelerometer.seconds.Unix	accelerometer.accx.Average	accelerometer.accy.Average	accelerometer.accz.Average	accelerometer.accx.Average-All	events.type	events.description
1	15993	1497027451	0.11439732142857	0.21216517857143	9.5574776785714	9.5605300976752		
2	15993	1497027452	0.19921875	0.36495535714286	9.5218829719388	9.5369454035639		
3	15993	1497027453	0.044096327319588	0.60401900773196	9.5195715206186	9.5395213496887		
4	15993	1497027454	1.7939755154639	0.78737113402062	9.780887564433	10.221359595176		
5	15993	1497027455	0.13863118489583	0.32328287760417	9.486328125	9.5024532446076		
6	15993	1497027456	0.043585526315789	0.17487664473684	9.4521381578947	9.4538704355263		
7	15993	1497027457	0.043244949494949	0.17266414141414	9.4764046717172	9.4780937060434		
8	15993	1497027458	0.045121173469388	0.1734693877551	9.4787547831633	9.4804621633132		
9	15993	1497027459	0.043996710526316	0.17351973684211	9.4812911184211	9.4829959092338		
10	15993	1497027460	0.044298537234043	0.17411901595745	9.4790974069149	9.4808137870053		
11	15993	1497027461	0.042277018229167	0.1734619140625	9.4794108072917	9.4811070514718		
12	15993	1497027462	0.042416779891304	0.17505944293478	9.4782608695652	9.4799878301509		
13	15993	1497027463	0.043009020618557	0.17521746134021	9.4759584407216	9.4776908013969		
14	15993	1497027464	0.042683919270833	0.17390950520833	9.4783121744792	9.4800171911542		
15	15993	1497027465	0.043136760752688	0.17334509408602	9.4766045026882	9.4783015881677		
16	15993	1497027466	0.043294270833333	0.17692057291667	9.4778645833333	9.4796273876749		
17	15993	1497027467	0.041876680107527	0.17477318548387	9.4730342741935	9.4747539116134		
18	15993	1497027468	0.043174342105263	0.17388980263158	9.4794819078947	9.4811896781697		
19	15993	1497027469	0.04296875	0.17290296052632	9.4776726973684	9.479360606789		
20	15993	1497027470	0.043467420212766	0.17249833776596	9.4779338430851	9.4796142741798		
21	15993	1497027471	0.041196842783505	0.1742912371134	9.4769652061856	9.4786699655628		
22	15993	1497027472	0.043259640957447	0.17229055851064	9.472032912234	9.4737106118873		
23	15993	1497027473	0.042404961340206	0.1754993556701	9.4792606314433	9.4809932230776		
24	15993	1497027474	0.042636303191489	0.17374501329787	9.4832945478723	9.4849948372773		
25	15993	1497027475	0.042729591836735	0.17446588010204	9.4809869260204	9.4827013562457		
26	15993	1497027476	0.044819078947368	0.17495888157895	9.4781661184211	9.4799019350361		
27	15993	1497027477	0.041529605263158	0.17310855263158	9.4800164473684	9.4817024144968		
28	15993	1497027478	0.042926747311828	0.1739751344086	9.4769405241935	9.4786478409869		
29	15993	1497027479	0.03993517287234	0.17395279255319	9.4776429521277	9.4793348720502		
30	15993	1497027480	0.043585526315789	0.17393092105263	9.4776315789474	9.4793421386538		
31	15993	1497027481	0.044072690217391	0.17399796195652	9.4740998641304	9.4758135051646		
