n	Session	accelerometer.seconds.Unix	accelerometer.accx.Average	accelerometer.accy.Average	accelerometer.accz.Average	accelerometer.accx.Average-All	events.type	events.description
1	16090	1497291010	0.94740316901408	2.620488556338	8.8946412852113	9.3401127677319		
2	16090	1497291011	0.54998405612245	2.9248246173469	8.7611208545918	9.2726240616572		
3	16090	1497291012	0.47664221938776	3.0374681122449	8.7549824617347	9.2871957446165		
4	16090	1497291013	2.8457828443878	3.8585379464286	7.8345424107143	9.6814301396176		
5	16090	1497291014	4.896875	3.41828125	7.7333984375	10.339349339345		
6	16090	1497291015	1.0237165178571	2.1045918367347	9.0084103954082	9.3757071112781		
7	16090	1497291016	0.5062181122449	2.4052933673469	8.9567920918367	9.324191859584		
8	16090	1497291017	0.96863162878788	2.8317945075758	8.7619554924242	9.3191745557382		
9	16090	1497291018	0.9414453125	2.74	8.79640625	9.271800415908		
10	16090	1497291019	0.60980043316832	2.1283261138614	9.0532951732673	9.3243293212993		
11	16090	1497291020	0.85514658505155	2.4047197164948	8.9269893685567	9.2864874418325		
12	16090	1497291021	0.47965655940594	1.9755569306931	8.9759823638614	9.2142088374729		
13	16090	1497291022	0.3293606505102	0.51542570153061	9.5222018494898	9.5523931718769		
14	16090	1497291023	0.23433632425743	0.57530167079208	9.3844755569307	9.4084097236961		
15	16090	1497291024	0.053172831632653	0.84574298469388	9.4382971938776	9.4774572511491		
16	16090	1497291025	0.058952487244898	0.81728316326531	9.4380181760204	9.4739974993272		
17	16090	1497291026	0.085658482142857	0.84905133928571	9.3935746173469	9.4326852785198		
18	16090	1497291027	0.13687818877551	0.80755739795918	9.3879145408163	9.4246196157287		
19	16090	1497291028	0.25631313131313	0.56790561868687	9.5088778409091	9.5358764418797		
20	16090	1497291029	0.75801179846939	0.60160235969388	9.3277662627551	9.4054570879983		
21	16090	1497291030	0.6807421875	0.8810546875	9.4150390625	9.5240490079763		
22	16090	1497291031	0.78697400990099	1.0031327351485	9.3446008663366	9.4545248660374		
23	16090	1497291032	1.0714567550505	0.59367108585859	9.6291429924242	9.7440395315246		
24	16090	1497291033	1.0548828125	0.543203125	9.5192578125	9.6124249288295		
25	16090	1497291034	0.5459375	0.31140625	9.448828125	9.4779339228444		
26	16090	1497291035	0.560859375	0.32234375	9.4513671875	9.4773650560488		
27	16090	1497291036	0.64548788265306	0.2727200255102	9.4787547831633	9.5055964284465		
28	16090	1497291037	0.69402384020619	0.48441527061856	9.4078608247423	9.4481532942009		
29	16090	1497291038	0.8243359375	0.4858203125	9.434296875	9.4834870867607		
30	16090	1497291039	0.89309630102041	0.44192442602041	9.3957669005102	9.4488813720601		
31	16090	1497291040	0.73812016752577	0.29550579896907	9.4612193943299	9.4955368230955		
32	16090	1497291041	0.58502998737374	0.30539772727273	9.432252209596	9.4557445324366		
33	16090	1497291042	0.58933080808081	0.34083017676768	9.426452020202	9.4514382494408		
34	16090	1497291043	0.41942866161616	0.13679766414141	9.460266729798	9.4760842666242		
35	16090	1497291044	0.18279655612245	0.20683195153061	9.4141422193878	9.4190985010562		
36	16090	1497291045	0.317890625	0.220859375	9.456171875	9.4681038250543		
37	16090	1497291046	0.4671556122449	0.39309630102041	9.3706552933673	9.3955186067605		
38	16090	1497291047	1.1630960051546	0.54272712628866	9.4689513530928	9.5738363328177		
39	16090	1497291048	1.2274609375	1.82078125	8.9988671875	9.2872535238276		
40	16090	1497291049	1.3048046875	1.8591796875	9.0967578125	9.3858020371813		
41	16090	1497291050	0.9483984375	2.026953125	9.01375	9.2899238103742		
42	16090	1497291051	0.99046875	1.7330859375	9.170703125	9.3889340787868		
43	16090	1497291052	0.6408203125	1.683515625	9.164921875	9.3524867038985		
44	16090	1497291053	0.3866796875	1.51015625	9.218203125	9.3507279084312		
45	16090	1497291054	0.4421875	1.533671875	9.23296875	9.3741833756831		
46	16090	1497291055	0.64340367268041	1.6614046391753	9.1567735180412	9.329601377614		
47	16090	1497291056	0.67103794642857	1.563137755102	9.2415896045918	9.4035849322254		
48	16090	1497291057	0.7523828125	1.6493359375	9.14328125	9.3275017008106		
49	16090	1497291058	0.651484375	1.4726171875	9.2506640625	9.3911263334371		
50	16090	1497291059	0.7890625	1.4567155934343	9.2069128787879	9.3560239213919		
51	16090	1497291060	1.1481613005051	1.1008522727273	9.4167455808081	9.6161259531141		
52	16090	1497291061	0.61450441919192	0.54648042929293	9.4001736111111	9.4459882994655		
53	16090	1497291062	0.53611288265306	0.740234375	9.3783482142857	9.425168446392		
54	16090	1497291063	0.71233258928571	0.80855389030612	9.3568239795918	9.4201757089728		
55	16090	1497291064	0.63216817010309	0.89147068298969	9.3419780927835	9.4073479236082		
56	16090	1497291065	0.7391796875	0.8918359375	9.3332421875	9.4055416229347		
57	16090	1497291066	0.83333333333333	0.9246764520202	9.3205492424242	9.4037363976065		
58	16090	1497291067	0.86611128826531	0.78575414540816	9.4265784438776	9.5029156962483		
59	16090	1497291068	0.99585700757576	0.49715909090909	9.446259469697	9.5310833780892		
60	16090	1497291069	0.70796875	0.7724609375	9.2846875	9.3686318457746		
61	16090	1497291070	0.103359375	0.8871484375	9.401328125	9.4440722466081		
62	16090	1497291071	0.10570790816327	0.92111766581633	9.372409119898	9.4185075972773		
63	16090	1497291072	0.09733737244898	0.92821269132653	9.3579400510204	9.4046142727157		
64	16090	1497291073	0.46839488636364	0.95734690656566	9.3504182449495	9.4268956971617		
65	16090	1497291074	0.2778125	0.99265625	9.443046875	9.5113056579524		
66	16090	1497291075	0.5584375	0.6308203125	9.350859375	9.4031747157602		
67	16090	1497291076	0.644765625	0.7459765625	9.233515625	9.3107227821918		
68	16090	1497291077	0.8052398989899	0.59639362373737	9.5980508207071	9.6715169240959		
69	16090	1497291078	0.5658203125	0.799140625	9.41921875	9.496166463665		
70	16090	1497291079	1.05484375	1.569921875	9.2321484375	9.4696049591453		
71	16090	1497291080	0.71973642676768	1.5207938762626	9.5144807449495	9.7106337910782		
72	16090	1497291081	1.5363165222772	1.6804610148515	8.9693301361386	9.3121620079862	s	e
73	16090	1497291082	2.0344786352041	2.0440051020408	8.7036431760204	9.7463339098121		
74	16090	1497291083	3.6165956439394	2.6788589015152	8.7470801767677	10.520246411159		
75	16090	1497291084	1.1284421410891	7.2585860148515	5.4715346534653	9.3804621585346		
76	16090	1497291085	0.66941849226804	3.7396504510309	8.4976240335052	9.5261069806322		
77	16090	1497291086	0.79219523514851	1.4319306930693	9.309135210396	9.5024401682479		
78	16090	1497291087	0.37959085051546	1.2000241623711	9.2801224226804	9.382866009934		
79	16090	1497291088	1.2375161082474	2.5447406572165	8.2545908505155	8.8922114037187		
80	16090	1497291089	2.0752840909091	1.4880050505051	9.8777619949495	10.382003189622		
81	16090	1497291090	0.23895202020202	1.1482796717172	9.2759232954545	9.3553291751657		
82	16090	1497291091	0.19140625	1.0718359375	9.3409375	9.4043990311633		
83	16090	1497291092	0.1813671875	1.0635546875	9.3393359375	9.4022808789278		
84	16090	1497291093	0.17219065656566	1.0716145833333	9.3384232954545	9.4014781297531		
85	16090	1497291094	0.16617506377551	1.064453125	9.3350605867347	9.397266967495		
86	16090	1497291095	0.17061237373737	1.074889520202	9.338226010101	9.4016177044772		
87	16090	1497291096	0.1715234375	1.07671875	9.3383984375	9.4020709267384		
88	16090	1497291097	0.169921875	1.06953125	9.340390625	9.4032976769612		
89	16090	1497291098	0.165625	1.0719140625	9.3400390625	9.4030501499856		
90	16090	1497291099	0.16958648989899	1.0683791035354	9.3411458333333	9.4038147229515		
91	16090	1497291100	0.6692578125	1.0898828125	9.32203125	9.41726319187		
92	16090	1497291101	1.3138809974747	1.0713778409091	9.3062657828283	9.4641996537259	s	d
93	16090	1497291102	1.313984375	1.011953125	9.315546875	9.4677805538322		
94	16090	1497291103	0.779296875	1.0134765625	9.3391015625	9.4283929313822		
95	16090	1497291104	0.83777104591837	1.0195711096939	9.3343829719388	9.4284888466632		
96	16090	1497291105	0.7885101010101	1.0265151515152	9.3353061868687	9.4260608131257		
97	16090	1497291106	0.70884900990099	1.0158570544554	9.3319152227723	9.416175223546		
98	16090	1497291107	1.0339725378788	1.0198074494949	9.3204703282828	9.434567104696		
