n	Session	accelerometer.seconds.Unix	accelerometer.accx.Average	accelerometer.accy.Average	accelerometer.accz.Average	accelerometer.accx.Average-All	events.type	events.description
1	16091	1497291775	0.3896921641791	2.4541744402985	8.9539995335821	9.3128030293097		
2	16091	1497291776	0.356640625	1.917265625	9.168203125	9.379655287687		
3	16091	1497291777	0.24578125	1.7933203125	9.1579296875	9.3407920452284		
4	16091	1497291778	0.61971275252525	1.2419507575758	9.200560290404	9.3150656992981		
5	16091	1497291779	0.499453125	0.55609375	9.5364453125	9.5815276611844		
6	16091	1497291780	0.6341796875	0.3376953125	9.430078125	9.4723008631369		
7	16091	1497291781	0.36639835858586	0.17972695707071	9.5030381944444	9.5157829966915		
8	16091	1497291782	0.31111900252525	0.77829071969697	9.3458017676768	9.4012973867107		
9	16091	1497291783	0.33482730263158	1.1778371710526	9.3248766447368	9.4088298550283		
10	16091	1497291784	0.3975	1.1594921875	9.33390625	9.4211880765046		
11	16091	1497291785	0.5433984375	1.157109375	9.2453515625	9.3537198950647		
12	16091	1497291786	0.81332859848485	1.8710148358586	9.1732559974747	9.4059206295239		
13	16091	1497291787	0.61515465561224	1.2650271045918	9.284837372449	9.4156362375062		
14	16091	1497291788	0.8220703125	0.676875	9.3580859375	9.4261364088577		
15	16091	1497291789	1.2056502525253	0.31845801767677	9.360992739899	9.4472237646439		
16	16091	1497291790	1.3422197164948	0.059681056701031	9.3697245489691	9.4660170129812		
17	16091	1497291791	1.4107481060606	0.03582702020202	9.3550741792929	9.4612342788357		
18	16091	1497291792	2.0859765625	0.3348046875	9.3000390625	9.5579335600035		
19	16091	1497291793	1.5890625	0.666796875	9.18640625	9.3656009323443		
20	16091	1497291794	1.3584765625	0.78265625	9.652109375	9.830681501871		
21	16091	1497291795	0.8948899872449	0.60957429846939	9.2824457908163	9.3697494124096		
22	16091	1497291796	0.4688671875	0.639453125	9.435	9.4880374538223		
23	16091	1497291797	0.446796875	0.6983203125	9.435390625	9.4920623576256		
24	16091	1497291798	0.65828125	0.76796875	9.3929296875	9.4662693903251		
25	16091	1497291799	1.121953125	1.164609375	9.263203125	9.434357527102		
26	16091	1497291800	1.3689453125	0.9003515625	9.27609375	9.4298715857778		
27	16091	1497291801	0.8887109375	0.877578125	9.28609375	9.3768837660952		
28	16091	1497291802	0.8195703125	0.90140625	9.3484765625	9.4500851172425		
29	16091	1497291803	0.7171484375	0.9905078125	9.2996484375	9.4047439592475		
30	16091	1497291804	1.2797353316327	0.98353794642857	9.4578683035714	9.6284747101719		
31	16091	1497291805	0.67502391581633	0.8011399872449	9.2453762755102	9.3379460589794	s	e
32	16091	1497291806	0.797109375	0.718671875	9.7093359375	9.800449236922		
33	16091	1497291807	1.186796875	0.51546875	9.12046875	9.2458058890533		
34	16091	1497291808	1.9365625	0.95375	9.266875	9.6391290375148		
35	16091	1497291809	1.8156960227273	0.57725694444444	9.3360953282828	9.581902154818		
36	16091	1497291810	2.0172265625	0.657578125	9.2078515625	9.5114713674162		
37	16091	1497291811	2.4014453125	1.2701953125	8.9274609375	9.3982866766568		
38	16091	1497291812	2.2691796875	1.1201953125	9.1629296875	9.572803665718		
39	16091	1497291813	1.1753472222222	1.2335464015152	9.4475220959596	9.6681436896933		
40	16091	1497291814	1.196796875	2.1680859375	9.0287890625	9.5264371578355		
41	16091	1497291815	1.3595344387755	2.2919323979592	9.5404177295918	10.034518151911		
42	16091	1497291816	0.673125	7.0229296875	5.7505078125	9.3552338510588		
43	16091	1497291817	1.390625	2.2233737244898	9.0359534438776	9.6063876862765		
44	16091	1497291818	1.1437815656566	1.3127367424242	9.4797585227273	9.8153940812394		
45	16091	1497291819	1.0051688762626	0.41737689393939	9.4065261994949	9.4981250521694		
46	16091	1497291820	1.224944760101	0.34165877525253	9.4171006944444	9.5130426874531		
47	16091	1497291821	0.9204296875	0.282578125	9.4300390625	9.4882243398701		
48	16091	1497291822	0.8665234375	0.2272265625	9.447265625	9.4916201927898		
49	16091	1497291823	0.71603954081633	0.31552933673469	9.4776785714286	9.5188672696918		
50	16091	1497291824	0.6140625	0.37171875	9.4234765625	9.4567027808838		
51	16091	1497291825	0.580078125	0.2864453125	9.476640625	9.5022131369816		
52	16091	1497291826	0.57671875	0.2635546875	9.473515625	9.4954844098534		
53	16091	1497291827	0.55715880102041	0.23732461734694	9.4761639030612	9.496052879685		
54	16091	1497291828	0.5189453125	0.2789453125	9.47734375	9.4957533351376		
55	16091	1497291829	0.484921875	0.2418359375	9.47765625	9.4942737045628		
56	16091	1497291830	0.222890625	0.3890625	9.511640625	9.5257303747921	s	d
57	16091	1497291831	0.22589172979798	0.37113320707071	9.4985795454545	9.5123397590246		
58	16091	1497291832	0.0458984375	0.396640625	9.5023828125	9.5113309290534		
59	16091	1497291833	0.02125	0.3944140625	9.502421875	9.5107659603739		
60	16091	1497291834	0.016171875	0.3798828125	9.5073828125	9.5151612193787		
61	16091	1497291835	0.027501578282828	0.37144886363636	9.5795849116162	9.5870323534822		
62	16091	1497291836	0.1344696969697	0.37405303030303	9.5440735479798	9.5526419140279		
63	16091	1497291837	0.1365234375	0.2975390625	9.5246484375	9.5306039770737		
64	16091	1497291838	0.1216015625	0.329453125	9.5237890625	9.5305627592457		
65	16091	1497291839	0.11142676767677	0.39875315656566	9.5460858585859	9.5558552680243		
66	16091	1497291840	0.13529829545455	0.59761679292929	9.5376420454545	9.5628218277204		
67	16091	1497291841	0.038203125	0.53921875	9.53703125	9.5531460993617		
68	16091	1497291842	0.26254734848485	0.44065656565657	9.5270280934343	9.5416115402386		
69	16091	1497291843	0.35168087121212	0.39279513888889	9.5137310606061	9.5285669450901		
70	16091	1497291844	0.3934375	0.354765625	9.4994140625	9.5144410199051		
71	16091	1497291845	0.41046875	0.3312890625	9.5206640625	9.535587783146		
72	16091	1497291846	0.42681760204082	0.3219068877551	9.5111607142857	9.5264268796101		
73	16091	1497291847	0.41682449494949	0.29959753787879	9.5069049873737	9.5212110676788		
74	16091	1497291848	0.447421875	0.2868359375	9.5049609375	9.5207090158008		
75	16091	1497291849	0.45857007575758	0.27616003787879	9.5113636363636	9.5276876637745		
76	16091	1497291850	0.4640625	0.2427734375	9.501953125	9.5169993106789		
77	16091	1497291851	0.4492578125	0.235625	9.5175	9.531620558592		
78	16091	1497291852	0.4834375	0.225078125	9.5017578125	9.5178971446897		
79	16091	1497291853	0.48153409090909	0.25106534090909	9.5307370580808	9.5480137644169		
80	16091	1497291854	0.46125315656566	0.28989109848485	9.4883996212121	9.5060781753218		
81	16091	1497291855	0.438828125	0.241015625	9.472890625	9.4890730408151		
82	16091	1497291856	0.39536830357143	0.53144929846939	9.4852519132653	9.5138781625575		
83	16091	1497291857	0.38345682989691	0.76196037371134	9.4669378221649	9.5072075241264		
84	16091	1497291858	0.3291015625	1.212890625	9.51703125	9.6016601270983		
85	16091	1497291859	0.35282512626263	1.0817155934343	9.4851246843434	9.5551995477552		
86	16091	1497291860	0.33640625	1.2025390625	9.513359375	9.5960833213469		
87	16091	1497291861	0.35307716836735	1.0556042729592	9.4945790816327	9.5605237283553		
88	16091	1497291862	0.22048611111111	0.84035669191919	9.5089172979798	9.5507267934238		
89	16091	1497291863	0.29917763157895	0.65250822368421	9.5112253289474	9.539469924956		
90	16091	1497291864	0.455859375	0.508671875	9.5362890625	9.5629569930165		
91	16091	1497291865	0.67203125	0.491953125	9.5298828125	9.5704727345171		
