n	Session	accelerometer.seconds.Unix	accelerometer.accx.Average	accelerometer.accy.Average	accelerometer.accz.Average	accelerometer.accx.Average-All	events.type	events.description
1	16101	1497343911	0.86690848214286	1.9148995535714	9.4008091517857	9.7135716737824		
2	16101	1497343912	1.330859375	1.008046875	9.1819140625	9.3913962652384		
3	16101	1497343913	0.85389819587629	1.3242590206186	9.0911726804124	9.2751238804285		
4	16101	1497343914	0.56372316919192	0.90088383838384	9.4851641414141	9.5949364980609		
5	16101	1497343915	0.79154829545455	0.91232638888889	9.3891650883838	9.479925766966		
6	16101	1497343916	0.75546875	0.57171875	9.359296875	9.4172519672131		
7	16101	1497343917	1.18609375	1.618515625	9.238359375	9.4907396113058		
8	16101	1497343918	0.4421484375	1.208125	9.5713671875	9.7245093400131		
9	16101	1497343919	1.2387109375	0.855390625	9.010625	9.1692042699097		
10	16101	1497343920	0.9735546875	0.955078125	9.25296875	9.4166356921331		
11	16101	1497343921	0.74759311868687	1.4184422348485	9.7122395833333	9.8893871826063		
12	16101	1497343922	0.86154513888889	1.0518860479798	9.3908222853535	9.540953352384	s	e
13	16101	1497343923	1.741953125	1.168671875	9.537109375	9.9834436774527		
14	16101	1497343924	3.46125	1.81375	7.966171875	9.313444662562		
15	16101	1497343925	1.5334375	1.3848046875	9.45296875	9.8235407919646		
16	16101	1497343926	0.00047348484848485	1.0845170454545	9.3136047979798	9.3765847197684		
17	16101	1497343927	0.006218112244898	1.0513392857143	9.3319515306122	9.3912188183402		
18	16101	1497343928	0.034406565656566	1.182252209596	9.3143544823232	9.3926323389457		
19	16101	1497343929	0.14952480670103	1.3031169458763	9.2838273195876	9.3866890619878		
20	16101	1497343930	0.011965460526316	1.3970805921053	9.2617598684211	9.3667377050021		
21	16101	1497343931	0.0187890625	1.3887109375	9.25015625	9.3539633894151		
22	16101	1497343932	0.0292578125	1.3877734375	9.2503515625	9.353994515888		
23	16101	1497343933	0.049505739795918	1.3854432397959	9.2486049107143	9.3520050616538		
24	16101	1497343934	0.2498046875	1.3891796875	9.2538671875	9.3641842563775		
25	16101	1497343935	1.0158666237113	1.3971488402062	9.2532216494845	9.4165201502218	s	d
26	16101	1497343936	1.2329940025253	1.3927162247475	9.2593513257576	9.4475882611433		
27	16101	1497343937	1.35546875	1.3823828125	9.2601953125	9.4606940179309		
28	16101	1497343938	1.391171875	1.3874609375	9.2628125	9.4696449343308		
29	16101	1497343939	1.3067578125	1.3676171875	9.2473046875	9.4397142861377		
30	16101	1497343940	1.2270703125	1.3858984375	9.2456640625	9.4301135154419		
31	16101	1497343941	1.0096859056122	1.3975207270408	9.2698899872449	9.4321159703836		
32	16101	1497343942	0.5931640625	1.39390625	9.2509375	9.3753713260124		
33	16101	1497343943	0.45859375	1.36796875	9.3071875	9.4209988658768		
34	16101	1497343944	0.37484375	1.4005859375	9.337578125	9.4517501259132		
35	16101	1497343945	0.386640625	1.44515625	9.4625	9.5814971161734		
36	16101	1497343946	0.4794140625	1.41921875	9.460234375	9.5792580244862		
37	16101	1497343947	0.44092793367347	1.4245057397959	9.4787149234694	9.5969608415237		
38	16101	1497343948	0.6077178030303	1.4363557449495	9.412444760101	9.5427309031802		
39	16101	1497343949	0.695234375	1.4670703125	9.239921875	9.3829331788009		
40	16101	1497343950	0.7256640625	1.402890625	9.2857421875	9.4216873713138		
41	16101	1497343951	0.93150252525253	1.2111347853535	9.2778172348485	9.4044516560118		
42	16101	1497343952	1.0837850765306	1.1225685586735	9.263671875	9.3954575639219		
43	16101	1497343953	1.0562657828283	1.0934738005051	9.3029513888889	9.4276176651926		
44	16101	1497343954	1.060859375	1.201953125	9.264453125	9.4050264842731		
45	16101	1497343955	1.0157421875	1.3894921875	9.2646484375	9.4251567162817		
46	16101	1497343956	1.0378125	1.381171875	9.2602734375	9.4221324208333		
47	16101	1497343957	1.0446484375	1.4117578125	9.21421875	9.3831836032933		
48	16101	1497343958	1.0501953125	1.4673828125	9.143828125	9.3242849698473		
